股票简称,股票代码,最新价,涨跌幅,PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
金安国纪,2636,14.05,0.86,25.3,56.71,3.29,1.0717,2.36,23.65,电子元件
*ST勤上,2638,2.36,3.51,75.04,78.66,0.99,5.8304,3.24,-27.61,文教休闲
永高股份,2641,6.35,0.47,9.72,10.19,1.67,0.1837,1.01,5.91,水泥建材
佛慈制药,2644,8.74,-3.53,36.36,39.86,2.76,0.72,6.31,56.86,医药制造
华宏科技,2645,14.98,-0.93,25.34,38.75,2.75,0.853,1.95,24.89,机械行业
卫星石化,2648,33.38,-0.89,24.05,34.57,3.97,0.5946,4.51,-116.77,化工行业
博彦科技,2649,9.59,0.1,13.4,15.43,1.68,0.3164,1.12,9.16,软件服务
ST加加,2650,6.21,0.16,42.2,40.59,2.76,5.566,3.42,28.36,食品饮料
利君股份,2651,9.84,-0.3,42.84,53.05,4.14,6.167,10.76,50.45,机械行业
海思科,2653,22.24,1,30.04,37.53,7.48,0.8383,6.89,82.65,医药制造
共达电声,2655,7.72,0.26,36.75,60.5,4.87,0.6221,2.34,18.04,电子元件
ST摩登,2656,1.47,-2.65,32.97,143.14,1.43,64.3879,2.37,-203.15,纺织服装
中科金财,2657,11.35,1.16,371.69,555.27,1.71,219.2281,2.05,-39.97,软件服务
雪迪龙,2658,10.27,-8.47,32.08,43.03,2.72,3.211,4.9,24.97,仪器仪表
克明面业,2661,14.51,0.07,17.83,16.7,1.82,0.5302,1.17,13.04,食品饮料
京威股份,2662,3.49,1.16,27.69,46.52,1.61,3.9211,1.35,8.16,汽车行业
长鹰信质,2664,13.18,-1.13,16.08,16.84,1.91,3.8627,1.7,25.23,机械行业
德联集团,2666,4.95,-0.2,13.9,16.05,1.15,2.084,0.74,-71.4,汽车行业
康达新材,2669,12.31,0.24,13.93,14.46,1.33,0.284,1.48,-24.95,材料行业
西部证券,2673,8.6,0.7,34.18,34.41,1.46,0.3736,6.96,-4.54,券商信托
东诚药业,2675,20.71,1.42,40.44,39.77,3.66,0.1219,4.62,26.89,医药制造
顺威股份,2676,3.72,0.54,52.94,97.61,2.44,0.2461,1.38,103.22,塑胶制品
浙江美大,2677,19.39,-0.36,20.08,23.05,6.96,0.9983,6.18,16.33,家电行业
福建金森,2679,23.99,-2.48,627.78,648.1,7.65,0.1005,35.72,-432.97,木业家具
奋达科技,2681,4.32,-0.46,7.59,7.4,3.48,0.1121,2.09,22.19,家电行业
宏大爆破,2683,28.65,0.84,48.58,53.18,4.01,1.3715,3.08,82.68,化工行业
亿利达,2686,6.08,5.56,80.95,137.13,2.23,13.4485,2,22.37,机械行业
乔治白,2687,5.58,-0.89,13.45,13.58,1.63,24.6084,1.74,10.83,纺织服装
远大智能,2689,2.96,-0.34,207.64,358.12,2.41,15.966,3.34,18.63,机械行业
煌上煌,2695,18.1,-1.74,32.66,32.89,4.1,0.9994,3.71,144.05,食品饮料
百洋股份,2696,5.41,1.12,99.53,84.89,1.43,13.0094,0.75,21.38,农牧饲渔
博实股份,2698,12.29,0,28.53,31,4.62,0.852,6.66,38.66,专用设备
奥瑞金,2701,5.22,-1.14,13.16,17.84,1.88,2.5162,1.07,7.92,金属制品
海欣食品,2702,6.39,-0.31,49.51,43.26,3.62,0.0449,1.81,23.52,食品饮料
浙江世宝,2703,5.85,1.74,72.38,113.09,3.39,1.4861,3.84,47.51,汽车行业
新宝股份,2705,30.93,1.24,21.96,22.86,4.12,0.3376,1.77,11.28,家电行业
良信股份,2706,20.65,-1.1,53.41,56.05,10.46,1.2839,6.4,55.87,输配电气
光洋股份,2708,6.05,0,42.01,58.56,1.89,0.1142,1.91,45.74,汽车行业
天赐材料,2709,97.8,5.25,116.68,170.4,24.7,0.0308,17.61,120.36,化工行业
东易日盛,2713,6.66,-0.45,14.47,15.5,4.13,0.1535,0.75,8.27,装修装饰
牧原股份,2714,67.8,2.34,11.78,13,6.36,0.0317,5.22,15.15,农牧饲渔
登云股份,2715,14.64,1.39,114.05,131.71,3.93,0.1038,4.94,42.76,汽车行业
*ST金贵,2716,2.89,0.35,9.55,28.73,3.36,2.0068,6.71,-71.14,贵金属
*ST麦趣,2719,9.57,-0.1,30.6,31.59,1.89,0.2439,1.82,8.87,食品饮料
金轮股份,2722,11.99,-0.33,29.96,62.51,1.11,0.211,0.8,10.48,机械行业
海洋王,2724,11.38,-1.04,28.2,29.5,3.33,1.6661,4.86,27.67,电子元件
龙大肉食,2726,11.8,0.85,12.07,13.03,3.39,0.0339,0.48,6.08,农牧饲渔
一心堂,2727,37.89,-2.22,26.71,28.6,3.74,0.7946,1.74,22.86,医药制造
电光科技,2730,13.3,0.08,75.93,76.11,4.24,1.2358,5.13,30.61,专用设备
利民股份,2734,12.39,0.24,11.41,11.96,1.68,0.6074,1.06,7.92,农药兽药
王子新材,2735,26.1,-1.84,43.05,45.89,5.07,0.558,2.39,79.01,包装材料
国信证券,2736,11.04,1.66,15.43,16.04,1.46,0.4466,5.61,-7.2,券商信托
葵花药业,2737,15.61,0.71,13.89,15.6,2.68,3.5937,2.42,7.98,医药制造
中矿资源,2738,42.81,8.16,59.05,78.98,4.08,1.5828,9.83,50.91,有色金属
光华科技,2741,16.06,6.92,99.82,166.41,4.86,0.0117,2.68,391.48,化工行业
富煌钢构,2743,6.48,-1.07,19.55,21.22,0.96,0.3724,0.63,353.65,水泥建材
埃斯顿,2747,31.47,0.83,181.05,206.48,14.92,1.3985,9.85,71.58,机械行业
龙津药业,2750,7.68,-0.9,165.04,260.41,4.82,2.0686,7.34,-108.64,医药制造
易尚展示,2751,20.53,4.8,45.43,59.74,2.15,1.2068,2.75,21.46,木业家具
昇兴股份,2752,5.39,0.56,100.4,386.01,2,2.0676,1.5,13.69,金属制品
永东股份,2753,8.85,0.11,12.26,21,1.67,0.0963,1.2,30.98,化工行业
南兴股份,2757,14.5,1.05,15.09,16.46,2.04,0.5264,1.77,8.33,专用设备
浙农股份,2758,9.81,-0.41,11.34,13.63,1.59,0.0005,0.15,3.25,综合行业
多喜爱,2761,7.99,-1.6,7.19,8.04,1.68,0.2282,0.1,-20.35,工程建设
汇洁股份,2763,10.79,1.03,14.57,20.99,2.11,0.5845,1.69,9.59,纺织服装
蓝黛科技,2765,6.18,1.15,52.77,460.46,1.9,3.2984,1.21,164.47,电子元件
国恩股份,2768,26.41,0.04,9.69,9.8,2.23,0.1269,0.95,23.6,塑胶制品
普路通,2769,6.21,-1.74,32.21,34.25,1.58,2.7028,0.69,8.97,交运物流
众兴菌业,2772,7.95,0.76,18.53,15.47,1.14,0.0833,1.93,8.47,农牧饲渔
快意电梯,2774,6.12,-0.65,48.36,65.96,1.89,0.7337,1.98,13.03,机械行业
久远银海,2777,16.83,-0.59,27.62,28.32,4.18,1.5779,4.46,24.57,电子信息
高科石化,2778,17.68,0.23,22.97,29.61,4.35,0.0372,2.08,13.3,石油行业
可立克,2782,10.77,2.57,31.55,24.93,3.45,0.0259,3.66,50.51,电子元件
凯龙股份,2783,9.36,-1.06,59.57,70.97,2.05,32.5813,1.51,58.48,化工行业
万里石,2785,15.83,-4.35,92.74,261.84,4.87,2.0138,3.01,-1532.16,水泥建材
鹭燕医药,2788,8.24,-0.24,11.39,11.97,1.33,2.5489,0.2,-54.7,医疗行业
坚朗五金,2791,193.35,3.05,73,76.08,15.48,0.6976,8.66,219.01,金属制品
第一创业,2797,7.1,0.42,50.41,36.71,2.15,0.7717,10.79,-40.53,券商信托
帝欧家居,2798,15.57,-1.02,10.23,10.69,1.4,100.9231,1.01,-1553.19,玻璃陶瓷
环球印务,2799,14.39,0.28,32.46,35.8,5.21,0.5372,1.72,-113.57,造纸印刷
天顺股份,2800,13.31,-0.75,35.48,47.5,2.82,0.33,1.15,-31.6,交运物流
微光股份,2801,26.23,1.59,31.61,31.14,4.96,1.7402,7.01,60.18,机械行业
洪汇新材,2802,33.46,-5.24,38.49,39.45,6.02,9.6677,5.88,84.84,化工行业
吉宏股份,2803,26.65,-1.3,17.48,18.05,5.51,0.2317,2.04,15.61,文化传媒
江阴银行,2807,4.04,0,8.16,8.3,0.73,1.8128,2.65,1.08,银行
恒久科技,2808,8.09,0,84.41,85.56,3.72,3.4745,4.31,130.69,电子元件
红墙股份,2809,10.25,0.2,14.08,14.94,1.59,1.2949,1.44,-14.33,化工行业
山东赫达,2810,48.32,-1.15,56.18,65.4,12.84,0.8675,12,42.58,化工行业
恩捷股份,2812,176,2.29,110.9,140.12,13.57,2.7388,30.22,128.38,包装材料
路畅科技,2813,28,-1.62,37.68,42.43,8.75,1.2465,7.38,34.57,通讯行业
黄山胶囊,2817,14.57,-2.54,45.64,47.44,2.78,2.6645,6.08,38.86,医药制造
凯莱英,2821,384.93,2.32,121.55,129.34,15.17,3.8436,27.06,150.46,医疗行业
中装建设,2822,5.74,-0.52,15.41,16.03,1.23,3.4281,0.68,-12.12,装修装饰
凯中精密,2823,10.22,0,33.27,35.06,2.16,1.615,1.42,38.52,专用设备
和胜股份,2824,32.11,-1.29,51.65,78.12,6.5,0.0316,3.46,-246.42,有色金属
纳尔股份,2825,13.82,0,21.74,24.7,2.19,0.1546,1.68,18.47,塑胶制品
易明医药,2826,9,0.11,42.74,42,2.49,4.0053,2.6,16.31,医药制造
高争民爆,2827,10.43,-1.23,55.66,78.2,3.78,0.7693,3.38,23.55,化工行业
星网宇达,2829,30.48,2.14,40.04,42.82,4.54,0.0393,6.74,28.2,电子信息
裕同科技,2831,28.14,-1.51,23.04,23.54,3.02,3.1236,2.09,37.25,造纸印刷
比音勒芬,2832,23.5,0.21,23.96,26.63,4.93,1.2395,6.07,14.27,纺织服装
弘亚数控,2833,34.5,-2.68,25.1,29.66,5.66,1.3426,5.5,21.64,专用设备
同为股份,2835,11.22,10,37.35,34.89,3.26,0.2883,2.94,14.96,电子信息
新宏泽,2836,8.75,0,46.66,43.57,3.48,0.913,7.25,17.82,造纸印刷
英维克,2837,18.36,-2.29,29.25,32.56,4.11,2.1572,3.24,-1423.54,机械行业
道恩股份,2838,18.91,0.53,9.01,9.02,4.06,0.0208,1.6,11.83,塑胶制品
张家港行,2839,5.7,0.35,9.89,10.3,0.93,2.0056,2.42,2.15,银行
华统股份,2840,9.9,0.2,23.2,32.8,2.52,8.7159,0.47,14.19,食品饮料
视源股份,2841,126.87,2.15,43.66,44.57,11.45,2.0386,4.69,31.26,电子元件
同兴达,2845,24.16,1.73,16.4,21.94,2.29,0.0992,0.49,13.82,电子元件
盐津铺子,2847,111.5,-2.19,54.1,59.66,16.94,0.5713,6.91,55.84,食品饮料
威星智能,2849,11.72,-0.68,19.38,18.53,1.99,0.5717,1.24,17.06,仪器仪表
麦格米特,2851,33.4,2.17,39.24,41.6,5.32,3.0597,4.65,72.93,输配电气
皮阿诺,2853,24.83,-1.59,20.3,23.52,2.37,1.4522,2.79,99.05,木业家具
捷荣技术,2855,8.96,-0.33,19.26,21.96,1.59,0.1699,0.73,12.06,电子元件
美芝股份,2856,12.04,-1.39,58.26,105.75,1.96,0.5609,1.18,-44.98,装修装饰
洁美科技,2859,28.1,0.97,34.27,39.83,6.24,0.1907,7.25,40.27,电子元件
今飞凯达,2863,5.2,0.58,37.81,40.06,1.39,2.9041,0.78,13.52,汽车行业
盘龙药业,2864,23.8,-0.79,23.71,26.07,2.83,2.3378,2.7,27.32,医药制造
传艺科技,2866,13.3,0.61,23.5,28.16,2.09,0.2541,1.99,20.53,电子元件
周大生,2867,29.28,1.56,18.64,21.12,3.8,8.1341,3.85,20.75,珠宝首饰
香山股份,2870,24.8,0.45,25.52,36.55,3.45,0.0763,1.36,18.27,仪器仪表
伟隆股份,2871,9.77,-0.71,27.23,28.51,2.44,2.8196,4.51,25.34,机械行业
新天药业,2873,17.82,-0.78,21.67,28.17,2.56,4.8987,2.41,13.29,医药制造
三利谱,2876,50.57,-1.1,48.33,75.27,4.68,0.2585,4.11,25.08,电子信息
元隆雅图,2878,18.39,-0.59,23.66,24.96,4.72,0.5195,1.94,23.99,文化传媒
长缆科技,2879,15.38,0.52,18.4,18.38,1.9,1.5498,3.12,33.87,输配电气
卫光生物,2880,50.84,0.22,44.35,43.26,5.05,3.8314,9.65,31.01,医药制造
美格智能,2881,21.69,-0.46,103.62,145.87,7.05,6.6061,3.2,95.88,电子元件
中设股份,2883,11.9,-0.25,20.51,21.03,2.76,1.3542,2.97,18.62,工程建设
凌霄泵业,2884,23.5,1.34,21.69,23.31,4.04,0.6551,5.14,30.01,机械行业
沃特股份,2886,14.08,-1.95,39.23,49.27,2.83,1.1869,2.49,90.56,塑胶制品
绿茵生态,2887,11.61,-0.68,12.31,12.87,1.69,0.3356,3.67,12.51,工程建设
惠威科技,2888,11.61,-1.36,58.73,56.7,3.99,3.5173,6.27,73.22,电子信息
东方嘉盛,2889,26.65,-1.59,17.54,18.69,2.06,0.443,1.07,127.78,交运物流
弘宇股份,2890,18.65,0.21,63.46,74.33,3.13,0.3319,3.85,38.19,专用设备
中宠股份,2891,41.52,0.41,82.65,90.53,6.98,1.118,5.05,556.82,食品饮料
科力尔,2892,20.21,-0.35,27.77,29.24,3.91,2.3631,2.58,-119.86,机械行业
中大力德,2896,18.78,3.36,24.98,27.81,2.75,0.8233,2.31,10.13,机械行业
意华股份,2897,20.51,0.84,19.81,19.44,2.62,0.0584,1,22.42,电子元件
大博医疗,2901,72.31,-2.28,44.93,48,13.06,1.356,16.79,47.14,医疗行业
宇环数控,2903,12.8,0.31,26.8,45,2.86,0.0266,4.94,18.55,机械行业
华阳集团,2906,29.2,1.11,63.25,76.3,3.8,0.2358,3.61,183.44,电子元件
集泰股份,2909,9.47,1.5,22.1,22.59,2.98,0.791,1.77,11.19,化工行业
佛燃能源,2911,9.12,-1.51,17.66,18.37,2.53,1.204,1.02,10.71,公用事业
奥士康,2913,75.25,0.4,27.63,34.23,3.61,0.7442,3.61,40.45,电子元件
中欣氟材,2915,19.55,-2.05,27.38,34.32,3.87,0.0158,3.4,32.22,化工行业
深南电路,2916,86.34,2.99,30.24,29.54,5.47,1.9335,3.57,22.77,电子元件
金奥博,2917,8.63,1.65,32.31,34.17,3.03,2.8359,3.32,138.19,化工行业
蒙娜丽莎,2918,31.89,-1.82,22.75,23.05,3.7,0.6603,2.43,13.31,玻璃陶瓷
名臣健康,2919,48.41,-2.95,37.22,57.83,8.24,0.0522,7.34,31.71,化工行业
德赛西威,2920,105.4,1.89,83.88,111.88,11.92,0.9788,7.53,163.21,汽车行业
联诚精密,2921,16.18,1.95,20.3,23.86,2.17,0.2839,1.72,1055.12,汽车行业
润都股份,2923,22.17,-0.98,29.66,30.33,3.83,2.0066,3.27,24,医药制造
盈趣科技,2925,42.28,1.98,29.68,32.24,6.5,5.5019,5.33,47.12,电子元件
华西证券,2926,9.94,0.71,14.13,13.73,1.2,0.4158,5.52,37.48,券商信托
泰永长征,2927,10.24,-0.19,26.49,27.19,2.66,1.8812,2.69,1125.03,输配电气
华夏航空,2928,14.78,-0.34,22.66,24.44,3.98,0.5161,3.13,22.54,民航机场
润建股份,2929,23.62,0.47,19.52,21.84,1.65,4.9874,1.1,-33.2,通讯行业
宏川智慧,2930,16.23,2.53,27.49,31.68,3.48,0.4072,7.42,10.43,交运物流
锋龙股份,2931,20.9,-0.48,32,38.52,4.74,0.8009,4.86,133.27,专用设备
明德生物,2932,94.62,1.7,8.08,13.92,4.49,0.0059,4.06,10.84,医疗行业
长城证券,2939,10.26,0.39,22.17,21.2,1.73,0.4035,4.66,-4.03,券商信托
昂利康,2940,39.77,1.69,24.66,23.31,2.84,0.4802,2.93,25.75,医药制造
新农股份,2942,23.45,-0.64,17.91,16.06,2.55,1.3733,2.46,16.82,农药兽药
华林证券,2945,12.3,0.9,40,40.87,5.36,0.4671,21.59,2.01,券商信托
新乳业,2946,17.37,-0.74,46.12,55.59,5.89,3.8105,1.95,14.35,食品饮料
青岛银行,2948,5.02,0,9.11,9.46,0.97,1.8671,2.16,0.89,银行
华阳国际,2949,17.77,-0.89,18.15,20.1,2.73,0.6021,1.68,23.5,工程建设
奥美医疗,2950,19.44,0.83,10.41,10.64,4.06,0.0376,3.03,11.2,医疗行业
金时科技,2951,10.9,-0.18,23.09,23.33,2.99,4.726,6.81,13.03,包装材料
亚世光电,2952,13.44,-0.96,26.06,25.61,2.6,4.5689,4.41,58.77,电子元件
科瑞技术,2957,23.39,4.14,29.79,32.86,3.75,2.4808,4.23,-426.72,专用设备
青农商行,2958,4.4,0,8.1,8.26,0.89,1.6855,2.6,23.82,银行
小熊电器,2959,70.46,-0.62,26.49,25.67,5.33,0.4383,2.87,11.06,家电行业
青鸟消防,2960,25.75,-2.2,18.69,20.67,2.83,0.9657,3.17,40.6,电子信息
瑞达期货,2961,20.74,0.14,29.19,37.09,4.71,0.1773,5.8,-6.25,多元金融
祥鑫科技,2965,25.13,4.58,24.77,23.43,2.14,3.4404,1.92,27.56,金属制品
苏州银行,2966,7.89,0.13,9.79,10.23,0.86,2.396,2.49,0.58,银行
广电计量,2967,39.66,-0.43,75.41,89.15,12.78,1.4675,10.62,46.84,综合行业
新大正,2968,47.4,-1.66,54.21,58.8,8.71,1.884,5.25,62.99,房地产
锐明技术,2970,43.83,0.14,37.96,32.3,4.96,1.7169,4.63,56.86,电子信息
和远气体,2971,18.09,-2.79,29.84,33.23,2.62,9.1795,3.11,51.05,化工行业
科安达,2972,17.23,-0.17,21.11,22.11,2.64,1.7954,8.22,42.02,专用设备
侨银股份,2973,16.89,0.12,18.37,18.37,4.58,0.0854,2.36,29.58,公用事业
博杰股份,2975,79.99,0.2,29.16,32.74,7.81,0.2185,7.36,38.55,专用设备
安宁股份,2978,51.5,-1.04,23.82,29.48,4.69,0.625,11.24,25.02,钢铁行业
雷赛智能,2979,29.43,-0.88,42.37,50.43,7.7,0.6879,8.23,70.61,仪器仪表
华盛昌,2980,39.52,1.65,18.27,15.61,4.8,0.0663,5.74,43.58,仪器仪表
森麒麟,2984,35.98,4.59,23.77,23.84,4.03,0.6953,4.93,17.43,塑胶制品
北摩高科,2985,94.37,-1.46,66.38,76.11,11.08,1.208,28.69,311.04,航天航空
京北方,2987,30.76,0.85,22.74,25.06,3.79,0.3413,2.68,-89.77,软件服务
中天精装,2989,35.18,-2.44,26.59,28.21,3.22,8.9399,2.01,92.03,装修装饰
盛视科技,2990,31.5,-0.72,36.98,35.44,4.14,7.195,8.29,72.29,软件服务
甘源食品,2991,74.97,0.86,38.02,38.98,4.78,5.9909,5.52,31.44,食品饮料
奥海科技,2993,38.32,1.43,24.71,27.37,3.92,0.4693,2.7,15.91,电子元件
天地在线,2995,32.9,-1.88,27.59,28.39,2.85,4.7002,0.8,-50.23,电子信息
顺博合金,2996,19.31,-4.59,35.17,43.29,4.36,1.9509,1.47,-18,有色金属
优彩资源,2998,10.86,-0.64,20.75,26.22,2.47,0.3536,2.47,27.45,化纤行业
天禾股份,2999,8.35,-2.45,36.08,36.5,2.79,19.4731,0.27,32.67,化肥行业
壶化股份,3002,13.41,-1.4,27.61,27.68,2.57,0.8947,4.54,26.54,化工行业
百亚股份,3006,26.63,-0.19,54.75,62.42,9.46,1.216,8.41,53.04,造纸印刷
中天火箭,3009,51.86,0.06,60.34,77.91,6.28,14.5052,8.37,74.07,航天航空
若羽臣,3010,30.72,1.49,39.89,42.24,3.5,17.9605,3.19,-25.53,电子信息
海象新材,3011,32.71,-1.03,18.42,17.84,2.71,0.5056,2.47,50.95,塑胶制品
东鹏控股,3012,18.14,-1.09,21,24.98,2.82,2.5732,2.72,10,玻璃陶瓷
地铁设计,3013,21.01,0.53,27.36,29.33,4.36,1.2584,4.23,77.81,工程建设
日久光电,3015,12.69,-1.32,33.34,36,3.11,1.9869,6.89,28.88,电子元件
大洋生物,3017,40.73,0.87,25.47,26.68,2.48,1.8399,3.4,20.95,化工行业
立方制药,3020,65.64,1.26,41.15,45,5,1.366,3.05,37.36,医疗行业
联泓新科,3022,22.86,-0.22,37.62,47.66,5.34,1.5307,4.65,23.16,化工行业
彩虹集团,3023,31.82,-1.09,20.66,22.91,1.99,0.5373,2.22,10.09,家电行业
思进智能,3025,43.3,-2.35,30.08,37.18,4.03,2.0116,7.53,25.71,机械行业
中晶科技,3026,86.16,3.79,78.44,99.11,10.99,2.4581,27.89,91.55,电子元件
振邦智能,3028,51.91,0.58,27.24,32.76,5.22,0.5049,4.93,76.31,电子元件
吉大正元,3029,23.37,-2.05,41.05,39.28,3.42,1.667,6.57,32.76,软件服务
中国广核,3816,2.73,-0.73,13.25,14.42,1.41,12.698,1.86,4.36,电力行业
神州泰岳,300002,4.7,3.3,22.27,26.25,2.3,0.4974,2.31,11.9,软件服务
乐普医疗,300003,32.41,1.03,27.28,32.46,5.5,7.1103,6.41,17.81,医疗行业
南风股份,300004,5.59,-2.27,16.52,18.06,1.19,0.01,3.06,-25.37,机械行业
汉威科技,300007,14.55,1.11,19.56,20.74,2.67,0.0157,2.07,8.87,仪器仪表
天海防务,300008,5.89,3.33,414.29,398.24,6.13,36.9762,16.43,-62.25,船舶制造
安科生物,300009,16.54,0.79,67.22,75.5,9.17,0.1656,14.48,55.13,医药制造
华测检测,300012,33.19,0.27,83.47,96.03,14.29,3.4987,14.32,52.64,综合行业
亿纬锂能,300014,103.96,-1.12,95.94,118.84,12.86,8.9007,20.01,248.62,电子元件
爱尔眼科,300015,85.21,-0.34,165,203.73,34.16,6.4832,25.48,85.76,医疗行业
硅宝科技,300019,15.51,2.72,27.68,30.14,3.18,0.4753,3.51,30.99,化工行业
银江股份,300020,7.75,-0.77,31.8,32.23,1.43,4.8755,2.4,-17.96,软件服务
红日药业,300026,4.37,0,19.98,22.9,1.78,0.3984,1.88,36.12,医药制造
阳普医疗,300030,11.26,0.63,18.83,21.4,3.34,0.0466,3.47,19.9,医疗行业
宝通科技,300031,17.61,-0.4,15.84,16,2.27,0.3263,2.56,31.16,软件服务
同花顺,300033,114,-0.63,34.69,35.55,12.9,0.2648,20.5,29.95,软件服务
钢研高纳,300034,28.09,3.65,59.1,67.04,5.25,1.4964,8.08,94,材料行业
中科电气,300035,18.85,6.5,58.96,73.92,5.55,6.1147,10.66,2291.54,机械行业
超图软件,300036,18.72,-4.83,35.68,36.09,3.91,5.0268,5.11,53.49,软件服务
新宙邦,300037,93.7,1.85,66.99,74.34,7.5,1.0029,10.75,51.41,材料行业
九洲集团,300040,10.14,10.82,44.42,55.02,1.73,1.0343,2.65,-92.35,输配电气
回天新材,300041,16.33,-0.49,29.56,32.25,3.47,0.741,2.97,38.46,化工行业
华力创通,300045,8.85,-1.01,272.72,195.2,3.09,11.7583,8.67,81.11,软件服务
台基股份,300046,22.73,3.22,110.52,166.74,5.37,7.823,12.63,113.88,电子元件
天源迪科,300047,6.68,0,32.22,32.25,1.3,2.4556,0.77,108.34,软件服务
福瑞股份,300049,11.06,0.36,45.52,47,2.15,0.8588,3.73,17.19,医药制造
世纪鼎利,300050,4.87,-1.42,118.41,105.21,1.13,20.9286,4.01,25.92,通讯行业
欧比特,300053,8.39,1.57,55.2,54.49,1.93,0.9082,6.69,-414.59,电子元件
中创环保,300056,6.76,-0.59,83.32,124.47,2.74,0.5464,1.42,-61.61,环保工程
蓝色光标,300058,6.38,0.16,17.98,21.94,1.7,8.96,0.37,11.64,文化传媒
东方财富,300059,31.02,0.52,55.14,67.1,9.14,0.275,33.97,49.92,电子信息
中能电气,300062,9.28,4.39,53.84,208.96,3.57,1.5273,2.7,16.73,输配电气
天龙集团,300063,4.54,1.34,27.72,27.8,2.68,0.3438,0.31,54.66,文化传媒
三川智慧,300066,4.36,-0.46,20.08,21.32,2.3,1.8133,4.5,75.22,仪器仪表
当升科技,300073,59.7,2.97,54.03,70.36,6.84,0.0811,6.72,72.72,材料行业
华平股份,300074,3.88,-1.27,50.92,91.4,1.81,1.4859,4.45,28.13,软件服务
数字政通,300075,10.27,-1.44,30.74,31.17,1.57,0.99,3.4,33.26,软件服务
GQY视讯,300076,4.59,0.88,258.97,122.56,1.89,34.4628,10.51,-8.89,安防设备
数码视讯,300079,5.73,-3.7,70.04,106.71,2.08,4.3263,7.87,24.67,通讯行业
奥克股份,300082,12.15,4.11,18.76,20.52,2.48,1.1587,1.3,15.45,化工行业
荃银高科,300087,25.6,1.95,89.89,82.55,16.07,2.1072,6.41,-1444.55,农牧饲渔
科新机电,300092,8.59,0.35,22.11,24.87,2.9,0.2538,2.26,127.47,机械行业
华伍股份,300095,9.05,-0.88,18.03,20.85,2.35,0.1594,2.32,13.24,机械行业
精准信息,300099,7.13,0,29.57,39.95,2.63,0.2152,6.83,39.63,仪器仪表
双林股份,300100,9.47,0.42,29.27,42.41,2.13,2.3224,1,7.66,汽车行业
振芯科技,300101,18.07,5.36,88.6,124.94,9.58,0.0313,14.81,109.18,通讯行业
达刚控股,300103,9.63,-1.73,43.67,47.52,2.86,1.6414,2.35,56.3,专用设备
西部牧业,300106,10.1,-0.69,115.36,178.68,3.68,4.1566,2.34,13.1,农牧饲渔
华仁药业,300110,4.48,-1.1,46.63,55.97,2.32,0.2787,2.12,-8.27,医药制造
向日葵,300111,2.81,-1.06,60.8,56.32,20.18,0.2632,11.74,31.88,医药制造
万讯自控,300112,8.17,-0.85,23.18,25.83,2.18,0.4503,2.96,25.18,仪器仪表
中航电测,300114,14.81,4.66,32.52,33.33,4.5,1.2989,4.72,38.17,仪器仪表
长盈精密,300115,17.68,0.8,32.4,35.38,3.11,0.027,2.06,36.84,电子元件
瑞普生物,300119,39.87,2.63,36.52,40.49,6.26,0.2641,7.65,36.77,医药制造
智飞生物,300122,177.59,-1.34,76.32,86.07,30.93,1.8035,17.24,73.46,医药制造
汇川技术,300124,60.96,-1.01,61.09,74.88,13.86,0.4351,11.76,98.68,仪器仪表
锐奇股份,300126,6.63,0.3,115.44,174.71,1.95,9.1925,3.99,271.73,机械行业
银河磁体,300127,16.65,1.34,34.03,36.41,4.02,168.9438,8.27,34.47,电子元件
泰胜风能,300129,6.05,-1.14,10.6,12.48,1.63,0.0586,1.18,-34.8,输配电气
英唐智控,300131,6.94,3.43,22.02,27.6,4.99,0.0153,0.74,64.42,电子元件
青松股份,300132,20.92,1.95,23.08,23.45,3.35,14.1505,2.69,15.34,化工行业
华策影视,300133,6.09,-0.81,27.15,29,2,0.689,2.65,8.73,文化传媒
大富科技,300134,9.42,1.07,194.29,203.36,1.45,18.6033,3.22,100.52,通讯行业
晨光生物,300138,14.32,0.56,26.76,28.5,2.96,0.6561,1.82,10.67,农牧饲渔
沃森生物,300142,64.59,0.4,96.03,100.84,14.33,0.0721,31.03,3818.79,医药制造
盈康生命,300143,26.89,1.93,114.13,134.79,7.95,5.275,24.91,167.5,医疗行业
汤臣倍健,300146,37.27,3.21,35.09,41.57,9.51,0.0035,9.29,40.29,食品饮料
香雪制药,300147,8.19,1.74,128.13,55.03,1.49,6.0117,1.77,7.33,医药制造
睿智医药,300149,17.6,2.44,51.64,56.91,3.66,4.1897,5.52,22.5,医疗行业
昌红科技,300151,31.8,0.06,83.72,94.63,14.94,0.4474,13.19,56.58,专用设备
安居宝,300155,6.16,-0.96,31.38,32.02,2.54,0.5629,3.39,-205.25,安防设备
振东制药,300158,6.16,-8.88,21.2,24.16,1.1,0.2011,1.22,263.64,医药制造
天瑞仪器,300165,4.79,0.21,119.76,112.8,1.39,565.8298,2.38,13.14,仪器仪表
东富龙,300171,38.31,7.04,45.69,51.94,6.47,0.169,8.24,19.12,医疗行业
中电环保,300172,4.69,-1.88,17.76,17.94,1.91,0.6233,3.39,21.66,环保工程
福能东方,300173,5.48,2.24,81.09,347.38,2.64,9.2919,3.68,-27.6,专用设备
元力股份,300174,14.79,-0.07,34.99,36.38,2.68,0.164,3.77,41.98,化工行业
