股票简称,股票代码,最新价,涨跌幅,PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
坤彩科技,603826,42.19,-0.17,119.16,125.74,12.29,16.1783,24.73,120.79,材料行业
洛凯股份,603829,10.6,-0.28,22.96,26.54,2.28,0.7957,1.66,-35.91,输配电气
欧派家居,603833,155.22,0.58,38.95,45.47,7.74,2.9753,5.65,21.02,木业家具
正平股份,603843,3.93,-0.51,17.2,19.95,1.46,0.2102,0.41,6.4,工程建设
华荣股份,603855,18.56,6.85,22.17,24.04,3.83,0.5925,2.57,17.39,专用设备
东宏股份,603856,11.44,-1.12,9.08,9.27,1.47,0.131,1.19,-20.97,塑胶制品
能科股份,603859,35.88,1.27,39.3,41.55,3.49,1.1262,5.01,65.38,软件服务
桃李面包,603866,34.8,0.75,38.93,37.53,6.63,1.3087,5.55,30.68,食品饮料
新化股份,603867,24.85,10,14.48,17.03,2.26,0.1827,1.33,53.4,化工行业
新智认知,603869,8.5,0.83,28.69,253.02,1.08,1.7977,3.43,6.47,电子信息
嘉友国际,603871,23.32,-0.04,12.94,14.21,2.38,2.5315,1.57,27.19,交运物流
太平鸟,603877,50.74,0.48,26.66,33.94,5.9,0.8378,2.27,21.22,纺织服装
南卫股份,603880,7.87,-0.51,23.57,23.49,3.24,0.0835,2.07,21.9,医药制造
数据港,603881,36.25,0.92,85.32,87.44,4.08,3.3756,11.94,64.93,软件服务
金域医学,603882,144.55,0.28,33.44,44.29,14.88,0.0916,6.86,37.12,医疗行业
老百姓,603883,54.77,-1.1,34.31,36.04,5.38,1.5047,1.56,13.22,医药制造
元祖股份,603886,18.38,-0.38,13.28,14.7,2.94,0.5569,1.84,8.79,食品饮料
城地香江,603887,11.99,-0.42,11.41,11.47,1.18,0.5738,1.13,19.05,工程建设
新澳股份,603889,5.36,0.56,19.97,18.11,1.06,2.3747,1.13,9.77,纺织服装
春秋电子,603890,12.35,-0.32,16.98,19.56,2.55,0.3186,1.2,257.54,电子信息
瑞芯微,603893,97,10,101.14,126.36,16.84,1.4957,18.74,72.79,电子元件
天永智能,603895,18.39,0.71,170.28,162.86,3.3,5.0751,3.75,1960.76,专用设备
寿仙谷,603896,38.36,-0.83,35.8,37.79,4.15,1.4073,8.46,20.17,医药制造
长城科技,603897,19.38,0.57,16.24,19.85,1.76,1.3006,0.46,-17.82,输配电气
晨光文具,603899,86.06,1.13,59,63.6,14.38,2.9866,5.37,47.11,文教休闲
永创智能,603901,16.87,4.01,36.17,43.44,5.08,0.4137,3.31,21.56,专用设备
中持股份,603903,10.31,-0.77,14.85,15.15,1.97,0.5796,1.27,6.26,环保工程
龙蟠科技,603906,30.37,10,61.4,72.19,7.37,0.9036,6.67,60.43,化工行业
牧高笛,603908,22.18,-0.36,27.03,32.17,3.21,2.212,2.16,67.91,纺织服装
佳力图,603912,15.18,1.07,24.41,28.48,3.54,0.5273,4.82,-244.18,专用设备
国茂股份,603915,36.32,0.06,42.25,47.79,6.53,1.4442,6.88,35.84,机械行业
苏博特,603916,23.31,-0.81,20.87,22.23,2.76,0.7875,2.45,29.18,化工行业
金桥信息,603918,9.7,-4.24,27.21,30.92,2.55,0.5695,2.5,26,软件服务
金徽酒,603919,50.11,2.29,65.38,76.72,8.78,2.3475,13.4,66.94,酿酒行业
金鸿顺,603922,14.96,-1.19,91.53,252.8,1.83,9.9282,3.81,56.02,汽车行业
铁流股份,603926,13.21,0.61,11,13.11,1.61,0.2701,1.28,9.27,汽车行业
中科软,603927,37.11,0.9,31.11,33.01,6.9,1.194,2.56,27.2,软件服务
博敏电子,603936,11.06,-0.18,20.36,22.91,1.61,0.7928,1.87,66.6,电子元件
益丰药房,603939,83.3,-1.84,55.96,59.95,6.63,1.2628,3.36,30.86,医药制造
雪龙集团,603949,14.53,-1.49,17.94,20.86,3.04,0.3399,5.76,46.24,汽车行业
长源东谷,603950,20.02,0.5,12.43,14.74,2.2,0.8518,2.42,12.02,汽车行业
大千生态,603955,13.21,-0.3,16.13,17.56,1.15,1.8571,1.88,6,园林工程
威派格,603956,16.26,0.37,33.16,40.55,5.98,0.6083,6.47,35.88,专用设备
百利科技,603959,11.19,0.54,82.21,232.02,8.41,21.4554,3.67,167.32,工程建设
克来机电,603960,30.6,2.41,64.86,61.81,8.15,2.1683,10.92,88.24,专用设备
法兰泰克,603966,12.69,-0.86,16.81,17.62,2.35,0.3053,2.05,13.07,专用设备
醋化股份,603968,14.8,-0.8,13.05,12.22,1.72,1.1414,1.18,14.5,化工行业
中农立华,603970,22.68,2.35,31.49,32.88,3.97,2.7114,0.61,14.52,农药兽药
国泰集团,603977,7.54,-0.92,19.33,21.51,1.92,0.4993,2.28,10.77,化工行业
金诚信,603979,16.69,0.12,24.67,26.66,2.1,1.3234,2.44,21.56,工程建设
泉峰汽车,603982,15.74,-0.32,20.33,26.21,1.97,0.4441,2.03,17.98,汽车行业
恒润股份,603985,21.77,-0.14,8.04,9.58,2.67,0.0107,1.69,19.73,金属制品
兆易创新,603986,142.62,3.35,93.41,107.55,8.57,1.9519,17.89,60.53,电子元件
康德莱,603987,28.71,1.06,58.48,62.53,6.99,3.0533,4.47,35.03,医疗行业
中电电机,603988,17.46,1.28,31.88,23.99,5.06,0.8485,4.68,44.32,机械行业
艾华集团,603989,29.48,-0.77,27.16,30.82,4.37,2.1779,4.24,43,电子元件
松霖科技,603992,18.77,10.02,24.35,27.83,3.62,1.5107,3.36,23.95,金属制品
洛阳钼业,603993,5.67,-0.7,42.4,52.59,3.17,1.5929,0.94,23.67,有色金属
甬金股份,603995,38.46,3.14,18.98,21.62,2.75,0.6593,0.38,12.47,材料行业
读者传媒,603999,5.57,-0.71,42.47,43.1,1.83,2.687,2.9,130.03,文化传媒
众望布艺,605003,31.26,1.13,17.8,19.58,2.68,1.4326,5.16,22.33,纺织服装
山东玻纤,605006,12.71,0,21.84,36.87,3.29,0.9613,2.76,13.57,玻璃陶瓷
五洲特纸,605007,20.61,-1.01,23.26,24.35,4.58,0.3224,2.89,34,造纸印刷
长鸿高科,605008,18.55,0.65,35.27,39.51,6.58,0.7397,8.54,126.98,化工行业
豪悦护理,605009,81.37,-1.37,21.74,21.48,4.5,0.2394,4.92,15.26,造纸印刷
福然德,605050,11,-1.08,13.83,15.59,1.6,1.2574,0.61,33.82,交运物流
澳弘电子,605058,22.68,-0.18,23.19,25.98,2.41,36.6721,3.33,15.25,电子元件
天正电气,605066,12.29,-0.24,19.35,20.12,2.8,1.4296,1.77,26.72,输配电气
明新旭腾,605068,39.42,0.74,25.45,29.68,3.68,1.1476,7.39,46.42,汽车行业
共创草坪,605099,40.15,-4.63,36.48,39.3,8.4,0.774,7.97,48.64,文教休闲
华丰股份,605100,40.72,-1.28,17.38,18.53,1.97,0.7788,2.02,16.5,机械行业
